sequence,label,avg_wrist_to_index,avg_wrist_to_pinky,avg_thumb_index_angle,avg_palm_area,max_velocity,mean_acceleration,movement_angle
0,z,0.7528699774676066,0.47298621624951653,55.19739000686779,0.04776995225313345,0.0,0.0,0.0
1,z,0.6947193553869454,0.46395423960859167,63.929671792125674,0.04307269104398464,0.0,0.0,0.0
2,z,0.6405330075083495,0.37378691166593886,70.02596140316572,0.04061475535083369,0.0,0.0,0.0
3,z,0.7656825015236945,0.4464412432643243,55.41804112491762,0.04954231825747804,0.0,0.0,0.0
4,z,0.728334783220224,0.4085195128218586,56.58156833023501,0.04975996092975683,0.0,0.0,0.0
5,z,0.7530883266839355,0.43327552738307357,56.78934111167515,0.05224371433161695,0.0,0.0,0.0
6,z,0.6973162693824441,0.4023792821830428,58.24678691556886,0.04290055110956552,0.0,0.0,0.0
7,z,0.8092454164408547,0.46812328203829867,57.75584894070846,0.05725605168614589,0.0,0.0,0.0
8,z,0.8049783823488807,0.4666389323430833,57.71709796481767,0.052848784657194094,0.0,0.0,0.0
9,z,0.8358509030128991,0.5036547763416522,59.145413354329676,0.05753905615014215,0.0,0.0,0.0
10,z,0.8016819874729187,0.48115287320292494,60.02576684730029,0.05936333650408643,0.0,0.0,0.0
11,z,0.7938328740064448,0.473161977655256,57.580182675114365,0.05343640947452178,0.0,0.0,0.0
12,z,0.7453693551631748,0.464505425771481,61.6239582103574,0.04721096239850546,0.0,0.0,0.0
13,z,0.7887236521060785,0.4603292018799003,59.78348710768807,0.05408535597899828,0.0,0.0,0.0
14,z,0.6608081794866798,0.3900858058657229,60.78844261734354,0.03561371152564738,0.0,0.0,0.0
15,z,0.672174860951519,0.4014499700134213,58.332065062622064,0.03952584301056686,0.0,0.0,0.0
16,z,0.7556407258991854,0.446727422784513,57.97241317684464,0.050144870247404494,0.0,0.0,0.0
17,z,0.712322489990721,0.4341879734624531,62.070485199099195,0.04662378937122781,0.0,0.0,0.0
18,z,0.8126725203614158,0.4896614191345566,61.67889874542077,0.05820774982941927,0.0,0.0,0.0
19,z,0.8100623183485385,0.5005583722013294,60.69584535142966,0.062210739762575094,0.0,0.0,0.0
20,z,0.9058146550671117,0.5508610622843745,60.59545219942882,0.07117654552895233,0.0,0.0,0.0
21,z,0.8925214079813691,0.5479667951581919,65.6628821584681,0.07478873997960771,0.0,0.0,0.0
22,z,0.8868502129289968,0.54030348416676,62.1038103738316,0.06847377903856162,0.0,0.0,0.0
23,z,0.7743761148934479,0.4726800850311534,61.943168562991765,0.051598141949004424,0.0,0.0,0.0
24,z,0.6570539411502802,0.42262323077990877,63.79847718817482,0.04029267677854131,0.0,0.0,0.0
25,z,0.6706684804983848,0.4262077766368041,62.11567646616888,0.042101726964628945,0.0,0.0,0.0
26,z,0.7614136947206624,0.47703326883404107,59.93758815692751,0.04850656987994317,0.0,0.0,0.0
27,z,0.6961844671322115,0.4268825966078535,60.98149238233249,0.04626454576888895,0.0,0.0,0.0
28,z,0.6741174508370246,0.4264235803304461,60.313373699591644,0.04219218257796083,0.0,0.0,0.0
29,z,0.7314161150139753,0.4643320850632341,59.044880761165246,0.04990365729975613,0.0,0.0,0.0
30,z,0.6164490392723591,0.37626820449314524,58.43362433371424,0.03249852609345571,0.0,0.0,0.0
